排名,学校名称,省市,学校类型,总得分
296,安庆师范大学,安徽,师范,119.0 
297,江苏理工学院,江苏,理工,118.5 
297,宁波工程学院,浙江,理工,118.5 
297,西北政法大学,陕西,政法,
298,河南中医药大学,河南,医药,
299,盐城师范学院,江苏,师范,118.3 
300,淮北师范大学,安徽,师范,118.2 
300,遵义医科大学,贵州,医药,
301,沈阳大学,辽宁,综合,118.0 
302,重庆科技学院,重庆,理工,117.8 
303,嘉兴学院,浙江,综合,117.7 
304,西南林业大学,云南,林业,117.3 
305,淮阴师范学院,江苏,师范,117.1 
306,盐城工学院,江苏,理工,117.0 
306,北京物资学院,北京,财经,
307,五邑大学,广东,综合,116.5 
307,广西民族大学,广西,民族,
308,常熟理工学院,江苏,综合,116.4 
308,广东医科大学,广东,医药,
309,广东海洋大学,广东,农业,116.1 
310,上海第二工业大学,上海,理工,115.9 
310,福建中医药大学,福建,医药,
311,福建工程学院,福建,理工,115.6 
312,大理大学,云南,综合,115.2 
313,四川轻化工大学,四川,理工,114.9 
314,黑龙江八一农垦大学,黑龙江,农业,113.6 
314,内蒙古科技大学,内蒙古,综合,113.6 
315,上海立信会计金融学院,上海,财经,
316,延安大学,陕西,综合,113.5 
316,贵州医科大学,贵州,医药,
317,天津农学院,天津,农业,113.3 
318,内蒙古民族大学,内蒙古,综合,112.8 
318,天津职业技术师范大学,天津,师范,112.8 
319,广西中医药大学,广西,医药,
320,闽江学院,福建,理工,112.3 
321,湖南理工学院,湖南,理工,112.2 
322,淮阴工学院,江苏,理工,111.9 
322,江西科技师范大学,江西,师范,111.9 
324,江苏海洋大学,江苏,理工,111.8 
324,闽南师范大学,福建,师范,111.8 
326,黑龙江科技大学,黑龙江,理工,111.6 
326,哈尔滨商业大学,黑龙江,财经,
327,北华大学,吉林,综合,111.5 
328,仲恺农业工程学院,广东,农业,111.4 
328,西安外国语大学,陕西,语言,
329,太原科技大学,山西,理工,111.2 
330,南昌工程学院,江西,理工,110.5 
331,长江师范学院,重庆,师范,110.4 
332,南京晓庄学院,江苏,师范,109.9 
333,湖北科技学院,湖北,综合,109.7 
334,台州学院,浙江,综合,109.1 
335,重庆文理学院,重庆,综合,108.8 
336,金陵科技学院,江苏,综合,108.5 
337,临沂大学,山东,综合,107.8 
338,湖北文理学院,湖北,综合,107.7 
338,吉林建筑大学,吉林,理工,107.7 
340,齐齐哈尔大学,黑龙江,综合,107.2 
341,河北科技师范学院,河北,师范,107.0 
342,青海师范大学,青海,师范,106.6 
343,浙江万里学院,浙江,理工,106.5 
343,蚌埠医学院,安徽,医药,
344,安阳师范学院,河南,师范,105.7 
344,吉林财经大学,吉林,财经,
345,江苏第二师范学院,江苏,师范,105.0 
345,安徽中医药大学,安徽,医药,
346,长沙学院,湖南,理工,104.7 
346,合肥师范学院,安徽,师范,104.7 
346,塔里木大学,新疆,综合,104.7 
346,徐州工程学院,江苏,理工,104.7 
347,云南财经大学,云南,财经,
350,湖北第二师范学院,湖北,师范,104.3 
350,内蒙古财经大学,内蒙古,财经,
350,浙江传媒学院,浙江,语言,
351,常州工学院,江苏,理工,104.2 
352,井冈山大学,江西,综合,104.1 
353,岭南师范学院,广东,师范,103.7 
354,广西科技大学,广西,理工,103.1 
355,长春大学,吉林,综合,102.9 
355,贵州师范学院,贵州,师范,102.9 
356,云南民族大学,云南,民族,
357,洛阳师范学院,河南,师范,102.8 
357,天津体育学院,天津,体育,
358,佳木斯大学,黑龙江,综合,102.3 
358,天津商业大学,天津,财经,
359,上海电机学院,上海,理工,102.2 
360,南阳师范学院,河南,师范,102.0 
361,河北建筑工程学院,河北,理工,101.3 
362,西藏农牧学院,西藏,农业,101.1 
363,惠州学院,广东,综合,100.7 
364,北华航天工业学院,河北,理工,100.0 
365,广东第二师范学院,广东,师范,99.6 
365,湖南工商大学,湖南,财经,
366,广东石油化工学院,广东,综合,99.5 
366,贵州财经大学,贵州,财经,
367,湖北汽车工业学院,湖北,理工,99.3 
368,衡阳师范学院,湖南,师范,98.9 
369,黄冈师范学院,湖北,师范,98.6 
369,丽水学院,浙江,师范,98.6 
370,湖北医药学院,湖北,医药,
371,洛阳理工学院,河南,综合,98.5 
372,北部湾大学,广西,综合,97.9 
372,湖南第一师范学院,湖南,师范,97.9 
373,大连民族大学,辽宁,民族,
374,肇庆学院,广东,综合,97.6 
375,重庆三峡学院,重庆,综合,97.4 
376,长春师范大学,吉林,师范,97.2 
376,贵州民族大学,贵州,民族,
377,阜阳师范大学,安徽,师范,96.9 
377,乐山师范学院,四川,师范,96.9 
378,海南医学院,海南,医药,
378,河北地质大学,河北,财经,
379,湖北理工学院,湖北,理工,96.1 
380,石家庄学院,河北,师范,96.0 
381,湖北工程学院,湖北,综合,95.9 
381,中国民用航空飞行学院,四川,理工,95.9 
383,河南科技学院,河南,师范,95.8 
384,沈阳工程学院,辽宁,理工,95.7 
384,铜仁学院,贵州,综合,95.7 
384,滨州医学院,山东,医药,
384,中国刑事警察学院,辽宁,政法,
386,成都工业学院,四川,理工,95.6 
387,防灾科技学院,河北,理工,95.4 
387,黑龙江工程学院,黑龙江,理工,95.4 
387,曲靖师范学院,云南,师范,95.4 
390,陕西理工大学,陕西,理工,95.1 
390,玉林师范学院,广西,师范,95.1 
391,沈阳医学院,辽宁,医药,
391,首都体育学院,北京,体育,
392,九江学院,江西,综合,94.9 
392,绵阳师范学院,四川,师范,94.9 
392,唐山师范学院,河北,师范,94.9 
392,广东药科大学,广东,医药,
395,华北科技学院,河北,理工,94.6 
395,杭州医学院,浙江,医药,
395,浙江外国语学院,浙江,语言,
396,泉州师范学院,福建,师范,94.5 
396,长春中医药大学,吉林,医药,
397,宝鸡文理学院,陕西,师范,93.5 
397,川北医学院,四川,医药,
397,桂林医学院,广西,医药,
398,重庆第二师范学院,重庆,师范,93.3 
398,郑州师范学院,河南,师范,93.3 
400,安徽科技学院,安徽,师范,93.2 
401,湖南文理学院,湖南,综合,93.1 
402,湖南工程学院,湖南,理工,93.0 
403,贵州理工学院,贵州,理工,92.6 
403,韩山师范学院,广东,师范,92.6 
405,内江师范学院,四川,师范,92.5 
405,许昌学院,河南,理工,92.5 
407,滁州学院,安徽,师范,92.2 
408,凯里学院,贵州,综合,91.8 
408,上海商学院,上海,财经,
409,莆田学院,福建,综合,91.6 
410,商丘师范学院,河南,师范,91.5 
410,武汉体育学院,湖北,体育,
410,新疆财经大学,新疆,财经,
411,韶关学院,广东,综合,91.4 
412,攀枝花学院,四川,综合,91.1 
412,西北民族大学,甘肃,民族,
413,湖南城市学院,湖南,综合,91.0 
413,宜春学院,江西,综合,91.0 
415,衢州学院,浙江,理工,90.8 
416,泰州学院,江苏,师范,90.7 
416,浙江水利水电学院,浙江,理工,90.7 
416,皖南医学院,安徽,医药,
418,贵阳学院,贵州,综合,89.9 
418,郑州航空工业管理学院,河南,财经,
419,吉林化工学院,吉林,理工,89.7 
419,龙岩学院,福建,综合,89.7 
419,太原师范学院,山西,师范,89.7 
419,成都体育学院,四川,体育,
420,中国劳动关系学院,北京,政法,
421,广东金融学院,广东,财经,
421,河北中医学院,河北,医药,
421,南京体育学院,江苏,体育,
422,周口师范学院,河南,师范,89.6 
423,昆明学院,云南,综合,89.5 
423,成都医学院,四川,医药,
424,鞍山师范学院,辽宁,师范,89.4 
425,南阳理工学院,河南,理工,89.3 
425,沈阳体育学院,辽宁,体育,
426,山西大同大学,山西,综合,89.2 
427,廊坊师范学院,河北,师范,89.1 
427,营口理工学院,辽宁,理工,89.1 
427,玉溪师范学院,云南,师范,89.1 
428,承德医学院,河北,医药,
430,保定学院,河北,师范,88.7 
430,三明学院,福建,综合,88.7 
432,安顺学院,贵州,综合,88.5 
433,德州学院,山东,综合,88.2 
434,河南城建学院,河南,理工,88.0 
434,牡丹江师范学院,黑龙江,师范,88.0 
435,兰州财经大学,甘肃,财经,
436,宜宾学院,四川,综合,87.7 
437,遵义师范学院,贵州,师范,87.4 
438,山东交通学院,山东,理工,87.3 
438,唐山学院,河北,理工,87.3 
438,河北金融学院,河北,财经,
440,长春工程学院,吉林,理工,87.2 
441,潍坊学院,山东,综合,86.9 
441,陕西中医药大学,陕西,医药,
442,黄淮学院,河南,师范,86.5 
443,嘉应学院,广东,综合,86.2 
444,哈尔滨学院,黑龙江,综合,86.1 
445,武夷学院,福建,综合,85.8 
445,山东第一医科大学,山东,医药,
446,上饶师范学院,江西,师范,85.6 
446,新乡学院,河南,理工,85.6 
447,西藏民族大学,陕西,民族,
448,辽东学院,辽宁,综合,85.1 
448,辽宁科技学院,辽宁,理工,85.1 
448,江苏警官学院,江苏,政法,
450,成都师范学院,四川,师范,85.0 
450,邢台学院,河北,师范,85.0 
452,邯郸学院,河北,师范,84.9 
453,呼伦贝尔学院,内蒙古,综合,84.8 
454,湖南科技学院,湖南,综合,84.6 
454,四川旅游学院,四川,综合,84.6 
454,皖西学院,安徽,师范,84.6 
457,赤峰学院,内蒙古,综合,84.5 
457,红河学院,云南,综合,84.5 
457,湖北民族大学,湖北,民族,
459,黄山学院,安徽,师范,84.4 
459,四川文理学院,四川,综合,84.4 
459,青海民族大学,青海,民族,
461,滨州学院,山东,师范,84.3 
461,黔南民族师范学院,贵州,师范,84.3 
461,山东工商学院,山东,财经,
462,潍坊医学院,山东,医药,
463,内蒙古科技大学包头师范学院,内蒙古,综合,84.2 
464,宁德师范学院,福建,师范,84.1 
465,楚雄师范学院,云南,师范,83.8 
466,信阳农林学院,河南,农业,83.5 
467,吉林工程技术师范学院,吉林,师范,83.3 
468,宁夏师范学院,宁夏,师范,82.7 
468,云南中医药大学,云南,医药,
469,海南热带海洋学院,海南,综合,82.6 
469,河北民族师范学院,河北,师范,82.6 
469,南昌师范学院,江西,师范,82.6 
472,西昌学院,四川,综合,82.5 
473,广西民族师范学院,广西,师范,82.1 
473,伊犁师范大学,新疆,师范,82.1 
475,沧州师范学院,河北,师范,81.9 
475,贵州工程应用技术学院,贵州,师范,81.9 
476,西安财经大学,陕西,财经,
477,六盘水师范学院,贵州,师范,81.6 
478,池州学院,安徽,师范,81.5 
479,淮南师范学院,安徽,师范,81.1 
480,广州航海学院,广东,理工,80.8 
480,泰山学院,山东,综合,80.8 
480,广州体育学院,广东,体育,
482,西安文理学院,陕西,师范,80.5 
483,梧州学院,广西,综合,80.0 
484,通化师范学院,吉林,师范,79.9 
485,邵阳学院,湖南,理工,79.8 
486,平顶山学院,河南,师范,79.7 
487,荆楚理工学院,湖北,理工,79.6 
488,大庆师范学院,黑龙江,综合,79.5 
488,宿州学院,安徽,师范,79.5 
490,蚌埠学院,安徽,理工,79.1 
491,衡水学院,河北,师范,79.0 
492,湘南学院,湖南,理工,78.9 
493,河南工程学院,河南,理工,78.7 
493,渭南师范学院,陕西,师范,78.7 
493,北方民族大学,宁夏,民族,
495,喀什大学,新疆,师范,78.5 
496,巢湖学院,安徽,师范,78.4 
496,齐鲁师范学院,山东,师范,78.4 
497,贵州中医药大学,贵州,医药,
497,河北北方学院,河北,医药,
498,贺州学院,广西,综合,78.2 
498,中华女子学院,北京,语言,
499,黑河学院,黑龙江,综合,78.1 
500,白城师范学院,吉林,师范,77.9 
501,咸阳师范学院,陕西,师范,77.4 
502,河南牧业经济学院,河南,农业,76.8 
503,怀化学院,湖南,综合,76.4 
503,张家口学院,河北,综合,76.4 
504,甘肃中医药大学,甘肃,医药,
505,安阳工学院,河南,理工,75.8 
505,河池学院,广西,综合,75.8 
507,桂林航天工业学院,广西,理工,75.6 
508,四川民族学院,四川,师范,75.4 
508,山东体育学院,山东,体育,
509,湖南工学院,湖南,理工,75.0 
510,百色学院,广西,综合,74.7 
511,兰州城市学院,甘肃,综合,74.5 
511,榆林学院,陕西,师范,74.5 
511,牡丹江医学院,黑龙江,医药,
513,兴义民族师范学院,贵州,师范,74.4 
514,河西学院,甘肃,综合,73.6 
515,保山学院,云南,师范,73.3 
516,太原工业学院,山西,理工,73.2 
517,商洛学院,陕西,综合,73.1 
518,湖南人文科技学院,湖南,师范,73.0 
518,甘肃政法大学,甘肃,政法,
518,山西中医药大学,山西,医药,
519,新余学院,江西,综合,72.8 
520,天水师范学院,甘肃,师范,72.7 
521,忻州师范学院,山西,师范,72.6 
522,吉林农业科技学院,吉林,农业,72.4 
523,枣庄学院,山东,综合,72.2 
524,普洱学院,云南,师范,72.1 
524,郑州工程技术学院,河南,理工,72.1 
525,济宁医学院,山东,医药,
526,河北环境工程学院,河北,综合,71.8 
527,山东青年政治学院,山东,综合,71.7 
527,重庆警察学院,重庆,政法,
528,晋中学院,山西,师范,71.6 
528,绥化学院,黑龙江,综合,71.6 
529,右江民族医学院,广西,医药,
530,安康学院,陕西,综合,71.3 
530,文山学院,云南,师范,71.3 
530,西藏藏医药大学,西藏,医药,
531,广西财经学院,广西,财经,
532,运城学院,山西,师范,71.1 
532,赣南医学院,江西,医药,
533,陇东学院,甘肃,师范,70.2 
534,景德镇学院,江西,综合,70.1 
534,四川警察学院,四川,政法,
535,滇西科技师范学院,云南,师范,69.8 
536,长沙师范学院,湖南,师范,69.7 
537,兰州工业学院,甘肃,理工,69.6 
537,哈尔滨体育学院,黑龙江,体育,
537,河南警察学院,河南,政法,
538,济宁学院,山东,师范,69.2 
539,琼台师范学院,海南,师范,69.0 
539,广东警官学院,广东,政法,
540,山东女子学院,山东,综合,68.9 
540,陕西学前师范学院,陕西,师范,68.9 
542,豫章师范学院,江西,师范,68.6 
543,昭通学院,云南,师范,68.5 
544,河南工学院,河南,理工,68.4 
545,新疆理工学院,新疆,综合,68.0 
545,齐齐哈尔医学院,黑龙江,医药,
546,汉江师范学院,湖北,师范,67.8 
546,福建江夏学院,福建,财经,
547,菏泽学院,山东,综合,67.1 
548,新疆工程学院,新疆,理工,66.6 
549,昌吉学院,新疆,师范,66.5 
550,鄂尔多斯应用技术学院,内蒙古,综合,65.8 
550,萍乡学院,江西,综合,65.8 
550,山西能源学院,山西,综合,65.8 
553,河套学院,内蒙古,综合,65.7 
553,吉林体育学院,吉林,体育,
554,福建技术师范学院,福建,师范,65.5 
555,黑龙江工业学院,黑龙江,理工,65.4 
556,兰州文理学院,甘肃,综合,65.1 
557,长治学院,山西,师范,64.9 
558,山东管理学院,山东,综合,64.1 
559,集宁师范学院,内蒙古,师范,64.0 
559,吕梁学院,山西,师范,64.0 
561,山西工程技术学院,山西,理工,63.6 
562,甘肃民族师范学院,甘肃,师范,63.0 
562,西安医学院,陕西,医药,
563,山东农业工程学院,山东,综合,62.6 
564,西安航空学院,陕西,理工,62.4 
565,太原学院,山西,理工,60.0 
566,亳州学院,安徽,师范,58.9 
566,湖北警官学院,湖北,政法,
567,首钢工学院,北京,理工,55.9 
577,南京森林警察学院,江苏,政法,
588,云南警官学院,云南,政法,
593,内蒙古科技大学包头医学院,内蒙古,医药,
596,武汉商学院,湖北,财经,
600+,北京警察学院,北京,政法,
600+,长治医学院,山西,医药,
600+,福建警察学院,福建,政法,
600+,广西警察学院,广西,政法,
600+,贵州警察学院,贵州,政法,
600+,贵州商学院,贵州,财经,
600+,哈尔滨金融学院,黑龙江,财经,
600+,河北体育学院,河北,体育,
600+,河南财政金融学院,河南,财经,
600+,呼和浩特民族学院,内蒙古,语言,
600+,湖南财政经济学院,湖南,财经,
600+,湖南警察学院,湖南,政法,
600+,湖南女子学院,湖南,语言,
600+,湖南医药学院,湖南,医药,
600+,吉林工商学院,吉林,财经,
600+,吉林警察学院,吉林,政法,
600+,吉林医药学院,吉林,医药,
600+,江西警察学院,江西,政法,
600+,辽宁警察学院,辽宁,政法,
600+,山东警察学院,山东,政法,
600+,山东政法学院,山东,政法,
600+,山西警察学院,山西,政法,
600+,铁道警察学院,河南,政法,
600+,铜陵学院,安徽,财经,
600+,西安体育学院,陕西,体育,
600+,新疆警察学院,新疆,政法,
600+,新疆科技学院,新疆,财经,
600+,浙江警察学院,浙江,政法,
600+,中国人民警察大学,河北,政法,
600+,中央司法警官学院,河北,政法,
